RUC	        Razón Social	Nombre Comercial	Email	                Teléfono	Dirección
2010012363	Empresa 19 S.A.	Comercial 19	contacto19@empresa19.com	98765019	Av. Principal 19 - Distrito 19
2010012364	Empresa 20 S.A.	Comercial 20	contacto20@empresa20.com	98765020	Av. Principal 20 - Distrito 20
2010012365	Empresa 21 S.A.	Comercial 21	contacto21@empresa21.com	98765021	Av. Principal 21 - Distrito 21
2010012366	Empresa 22 S.A.	Comercial 22	contacto22@empresa22.com	98765022	Av. Principal 22 - Distrito 22
2010012367	Empresa 23 S.A.	Comercial 23	contacto23@empresa23.com	98765023	Av. Principal 23 - Distrito 23
2010012368	Empresa 24 S.A.	Comercial 24	contacto24@empresa24.com	98765024	Av. Principal 24 - Distrito 24
2010012369	Empresa 25 S.A.	Comercial 25	contacto25@empresa25.com	98765025	Av. Principal 25 - Distrito 25
2010012370	Empresa 26 S.A.	Comercial 26	contacto26@empresa26.com	98765026	Av. Principal 26 - Distrito 26
2010012371	Empresa 27 S.A.	Comercial 27	contacto27@empresa27.com	98765027	Av. Principal 27 - Distrito 27
2010012372	Empresa 28 S.A.	Comercial 28	contacto28@empresa28.com	98765028	Av. Principal 28 - Distrito 28
2010012373	Empresa 29 S.A.	Comercial 29	contacto29@empresa29.com	98765029	Av. Principal 29 - Distrito 29
2010012374	Empresa 30 S.A.	Comercial 30	contacto30@empresa30.com	98765030	Av. Principal 30 - Distrito 30
2010012375	Empresa 31 S.A.	Comercial 31	contacto31@empresa31.com	98765031	Av. Principal 31 - Distrito 31
2010012376	Empresa 32 S.A.	Comercial 32	contacto32@empresa32.com	98765032	Av. Principal 32 - Distrito 32
2010012377	Empresa 33 S.A.	Comercial 33	contacto33@empresa33.com	98765033	Av. Principal 33 - Distrito 33
2010012378	Empresa 34 S.A.	Comercial 34	contacto34@empresa34.com	98765034	Av. Principal 34 - Distrito 34
2010012379	Empresa 35 S.A.	Comercial 35	contacto35@empresa35.com	98765035	Av. Principal 35 - Distrito 35
2010012380	Empresa 36 S.A.	Comercial 36	contacto36@empresa36.com	98765036	Av. Principal 36 - Distrito 36
2010012381	Empresa 37 S.A.	Comercial 37	contacto37@empresa37.com	98765037	Av. Principal 37 - Distrito 37
2010012382	Empresa 38 S.A.	Comercial 38	contacto38@empresa38.com	98765038	Av. Principal 38 - Distrito 38
2010012383	Empresa 39 S.A.	Comercial 39	contacto39@empresa39.com	98765039	Av. Principal 39 - Distrito 39
2010012384	Empresa 40 S.A.	Comercial 40	contacto40@empresa40.com	98765040	Av. Principal 40 - Distrito 40
2010012385	Empresa 41 S.A.	Comercial 41	contacto41@empresa41.com	98765041	Av. Principal 41 - Distrito 41
2010012386	Empresa 42 S.A.	Comercial 42	contacto42@empresa42.com	98765042	Av. Principal 42 - Distrito 42
2010012387	Empresa 43 S.A.	Comercial 43	contacto43@empresa43.com	98765043	Av. Principal 43 - Distrito 43
2010012388	Empresa 44 S.A.	Comercial 44	contacto44@empresa44.com	98765044	Av. Principal 44 - Distrito 44
2010012389	Empresa 45 S.A.	Comercial 45	contacto45@empresa45.com	98765045	Av. Principal 45 - Distrito 45
2010012390	Empresa 46 S.A.	Comercial 46	contacto46@empresa46.com	98765046	Av. Principal 46 - Distrito 46
2010012391	Empresa 47 S.A.	Comercial 47	contacto47@empresa47.com	98765047	Av. Principal 47 - Distrito 47
2010012392	Empresa 48 S.A.	Comercial 48	contacto48@empresa48.com	98765048	Av. Principal 48 - Distrito 48
2010012393	Empresa 49 S.A.	Comercial 49	contacto49@empresa49.com	98765049	Av. Principal 49 - Distrito 49
2010012394	Empresa 50 S.A.	Comercial 50	contacto50@empresa50.com	98765050	Av. Principal 50 - Distrito 50
